"SE","tweets","APS","casos","estacao","x"
201306,184,"AP2.1",210,"santosdumont",23
201307,224,"AP2.1",239,"santosdumont",24.2857142857143
201308,440,"AP2.1",446,"santosdumont",25.4
201309,473,"AP2.1",519,"santosdumont",23.1666666666667
201310,474,"AP2.1",529,"santosdumont",25
201311,659,"AP2.1",753,"santosdumont",24.25
201312,869,"AP2.1",638,"santosdumont",23.2
201313,852,"AP2.1",693,"santosdumont",22.6666666666667
201314,932,"AP2.1",892,"santosdumont",23.5
201315,1369,"AP2.1",971,"santosdumont",23.2857142857143
201316,783,"AP2.1",820,"santosdumont",20.7142857142857
201317,601,"AP2.1",631,"santosdumont",19.8571428571429
201318,443,"AP2.1",528,"santosdumont",21.5714285714286
201319,368,"AP2.1",386,"santosdumont",18.8571428571429
201320,304,"AP2.1",252,"santosdumont",20.7142857142857
201321,206,"AP2.1",153,"santosdumont",20.1666666666667
201322,193,"AP2.1",101,"santosdumont",20
201323,164,"AP2.1",87,"santosdumont",20.4285714285714
201324,146,"AP2.1",61,"santosdumont",20.6666666666667
201325,150,"AP2.1",42,"santosdumont",21
201326,123,"AP2.1",41,"santosdumont",20.8571428571429
201327,88,"AP2.1",31,"santosdumont",19.3333333333333
201328,90,"AP2.1",16,"santosdumont",18.1428571428571
201329,84,"AP2.1",22,"santosdumont",20.5
201330,57,"AP2.1",10,"santosdumont",18.6666666666667
201331,148,"AP2.1",17,"santosdumont",17.1428571428571
201332,155,"AP2.1",8,"santosdumont",20.5714285714286
201333,71,"AP2.1",11,"santosdumont",18.2857142857143
201334,97,"AP2.1",7,"santosdumont",20.4285714285714
201335,63,"AP2.1",3,"santosdumont",18.7142857142857
201336,55,"AP2.1",14,"santosdumont",20
201337,46,"AP2.1",7,"santosdumont",20.7142857142857
201338,115,"AP2.1",6,"santosdumont",22.5714285714286
201339,45,"AP2.1",8,"santosdumont",19.6666666666667
201340,56,"AP2.1",5,"santosdumont",21.5714285714286
201341,53,"AP2.1",6,"santosdumont",19.5
201342,57,"AP2.1",7,"santosdumont",21.3333333333333
201343,69,"AP2.1",7,"santosdumont",22.5
201344,66,"AP2.1",14,"santosdumont",21
201345,54,"AP2.1",6,"santosdumont",20.3333333333333
201346,63,"AP2.1",8,"santosdumont",22.7142857142857
201347,86,"AP2.1",17,"santosdumont",21.1666666666667
201348,74,"AP2.1",21,"santosdumont",22.8571428571429
201349,60,"AP2.1",18,"santosdumont",22.2857142857143
201350,NA,"AP2.1",12,"santosdumont",22.7142857142857
201351,NA,"AP2.1",2,"santosdumont",22.1428571428571
201352,NA,"AP2.1",0,"santosdumont",23.8571428571429
201401,27,"AP2.1",4,"santosdumont",25.5
201402,77,"AP2.1",11,"santosdumont",24.7142857142857
201403,82,"AP2.1",9,"santosdumont",23.6666666666667
201404,76,"AP2.1",17,"santosdumont",25
201405,91,"AP2.1",9,"santosdumont",25.1666666666667
201406,65,"AP2.1",5,"santosdumont",24.7142857142857
201407,77,"AP2.1",17,"santosdumont",23.8571428571429
201408,68,"AP2.1",14,"santosdumont",22.7142857142857
201409,77,"AP2.1",15,"santosdumont",23.8571428571429
201410,75,"AP2.1",6,"santosdumont",23.5
201411,66,"AP2.1",10,"santosdumont",24
201412,92,"AP2.1",15,"santosdumont",23.8333333333333
201413,63,"AP2.1",8,"santosdumont",22.7142857142857
201414,65,"AP2.1",9,"santosdumont",23.6666666666667
201415,76,"AP2.1",4,"santosdumont",23.1666666666667
201416,62,"AP2.1",9,"santosdumont",21.8571428571429
201417,64,"AP2.1",6,"santosdumont",22.4285714285714
201418,107,"AP2.1",11,"santosdumont",19.6666666666667
201419,159,"AP2.1",8,"santosdumont",22.1428571428571
201420,114,"AP2.1",1,"santosdumont",19.5714285714286
201421,92,"AP2.1",3,"santosdumont",21.8333333333333
201422,80,"AP2.1",1,"santosdumont",20.1428571428571
201423,55,"AP2.1",6,"santosdumont",20.7142857142857
201424,62,"AP2.1",3,"santosdumont",21.7142857142857
201425,63,"AP2.1",4,"santosdumont",20
201426,80,"AP2.1",8,"santosdumont",19.1428571428571
201427,49,"AP2.1",2,"santosdumont",20.4285714285714
201428,62,"AP2.1",5,"santosdumont",19.8571428571429
201429,55,"AP2.1",4,"santosdumont",19.1428571428571
201430,60,"AP2.1",1,"santosdumont",19.2857142857143
201431,64,"AP2.1",7,"santosdumont",18.4285714285714
201432,64,"AP2.1",2,"santosdumont",18.5714285714286
201433,42,"AP2.1",5,"santosdumont",18.7142857142857
201434,47,"AP2.1",2,"santosdumont",19.7142857142857
201435,81,"AP2.1",5,"santosdumont",20
201436,46,"AP2.1",2,"santosdumont",19.5714285714286
201437,45,"AP2.1",3,"santosdumont",20
201438,57,"AP2.1",6,"santosdumont",20.6
201439,80,"AP2.1",6,"santosdumont",20.5
